day,season,weekday,workingday,weathersit,temp,windspeed,casual,registered,cnt,year
1,1,6,0,2,0.344167,0.160446,331,654,985,2011
2,1,0,0,2,0.363478,0.248539,131,670,801,2011
3,1,1,1,1,0.196364,0.248309,120,1229,1349,2011
4,1,2,1,1,0.2,0.160296,108,1454,1562,2011
5,1,3,1,1,0.226957,0.1869,82,1518,1600,2011
6,1,4,1,1,0.204348,0.0895652,88,1518,1606,2011
7,1,5,1,2,0.196522,0.168726,148,1362,1510,2011
8,1,6,0,2,0.165,0.266804,68,891,959,2011
9,1,0,0,1,0.138333,0.36195,54,768,822,2011
10,1,1,1,1,0.150833,0.223267,41,1280,1321,2011
11,1,2,1,2,0.169091,0.122132,43,1220,1263,2011
12,1,3,1,1,0.172727,0.304627,25,1137,1162,2011
13,1,4,1,1,0.165,0.301,38,1368,1406,2011
14,1,5,1,1,0.16087,0.126548,54,1367,1421,2011
15,1,6,0,2,0.233333,0.157963,222,1026,1248,2011
16,1,0,0,1,0.231667,0.188433,251,953,1204,2011
17,1,1,0,2,0.175833,0.194017,117,883,1000,2011
18,1,2,1,2,0.216667,0.146775,9,674,683,2011
19,1,3,1,2,0.292174,0.208317,78,1572,1650,2011
20,1,4,1,2,0.261667,0.195904,83,1844,1927,2011
21,1,5,1,1,0.1775,0.353242,75,1468,1543,2011
22,1,6,0,1,0.0591304,0.17197,93,888,981,2011
23,1,0,0,1,0.0965217,0.2466,150,836,986,2011
24,1,1,1,1,0.0973913,0.15833,86,1330,1416,2011
25,1,2,1,2,0.223478,0.129796,186,1799,1985,2011
26,1,3,1,3,0.2175,0.29385,34,472,506,2011
27,1,4,1,1,0.195,0.113837,15,416,431,2011
28,1,5,1,2,0.203478,0.1233,38,1129,1167,2011
29,1,6,0,1,0.196522,0.145365,123,975,1098,2011
30,1,0,0,1,0.216522,0.0739826,140,956,1096,2011
31,1,1,1,2,0.180833,0.187192,42,1459,1501,2011
32,1,2,1,2,0.192174,0.053213,47,1313,1360,2011
33,1,3,1,2,0.26,0.264308,72,1454,1526,2011
34,1,4,1,1,0.186957,0.277752,61,1489,1550,2011
